from_code,to_code,weight,method
DEA2A,DEA2A,1.0,composed
DEA2B,DEA2B,1.0,composed
DEA2C,DEA2C,1.0,composed
DEA2D,DEA2D,1.0,composed
DEA31,DEA31,1.0,composed
DEA32,DEA32,1.0,composed
DEA33,DEA33,1.0,composed
DEA34,DEA34,1.0,composed
DEA35,DEA35,1.0,composed
DEA36,DEA36,1.0,composed
DEA37,DEA37,1.0,composed
DEA38,DEA38,1.0,composed
DEA41,DEA41,1.0,composed
DEA42,DEA42,1.0,composed
DEA43,DEA43,1.0,composed
DEA44,DEA44,1.0,composed
DEA45,DEA45,1.0,composed
DEA46,DEA46,1.0,composed
DEA47,DEA47,1.0,composed
DEA51,DEA51,1.0,composed
DEA52,DEA52,1.0,composed
DEA53,DEA53,1.0,composed
DEA54,DEA54,1.0,composed
DEA55,DEA55,1.0,composed
DEA56,DEA56,1.0,composed
DEA57,DEA57,1.0,composed
DEA58,DEA58,1.0,composed
DEA59,DEA59,1.0,composed
DEA5A,DEA5A,1.0,composed
DEA5B,DEA5B,1.0,composed
DEA5C,DEA5C,1.0,composed
DEB11,DEB11,1.0,composed
DEB12,DEB12,1.0,composed
DEB13,DEB13,1.0,composed
DEB14,DEB14,1.0,composed
DEB15,DEB15,1.0,composed
DEB17,DEB17,1.0,composed
DEB18,DEB18,1.0,composed
DEB1A,DEB1A,1.0,composed
DEB1B,DEB1B,1.0,composed
DEB1C,DEB1C,1.0,composed
DEB1D,DEB1D,1.0,composed
DEB21,DEB21,1.0,composed
DEB22,DEB22,1.0,composed
DEB23,DEB23,1.0,composed
DEB24,DEB24,1.0,composed
DEB25,DEB25,1.0,composed
DEB31,DEB31,1.0,composed
DEB32,DEB32,1.0,composed
DEB33,DEB33,1.0,composed
DEB34,DEB34,1.0,composed
DEB35,DEB35,1.0,composed
DEB36,DEB36,1.0,composed
DEB37,DEB37,1.0,composed
DEB38,DEB38,1.0,composed
DEB39,DEB39,1.0,composed
DEB3A,DEB3A,1.0,composed
DEB3B,DEB3B,1.0,composed
