country_code,party_abbreviation,party_native,partyfacts_id_matched,pf_name_short,pf_name,pf_name_english,votes,resembles_source
NL,De Conservatieven.nl,De Conservatieven.nl,5686.0,C,Conservatieven,Conservatives,2521.0,True
NL,Nieuwe Midden Partij,Nieuwe Midden Partij,369.0,NMP,Nieuwe Midden Partij,New Middle Party,2305.0,True
SI,DOM,DOMOVINSKA LIGA - DOM,7362.0,DOM,Domovinska liga,Patriotic League,2117.0,True
RO,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR,PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR,120.0,PSD,Partidul Social Democrat,Social Democratic Party,1912.0,True
IT,P.LIBERALE ITALIANO,Partito Liberale Italiano,1461.0,PLI,Partito Liberale Italiano,Italian Liberal Party,1628.0,True
LV,IZAUGSME,,7864.0,I,Izaugsme,Growth,1515.0,True
LV,"Partija ""Vienoti Latvijai""","Partija ""Vienoti Latvijai""",3195.0,ViLa,Vienoti Latvijai,United for Latvia,1413.0,True
CZ,ODA,,1008.0,ODA,Občanská demokratická aliance,Civic Democratic Alliance,1277.0,True
LV,RP,,1476.0,ZRP,Zatlera Reformu partija,Zatlers' Reform Party,1059.0,True
HR,AM,,3136.0,AM,Akcija mladih,Youth Action,907.0,True
BG,IC for the promotion of Veselin Naydenov Mareshki as an independent candidate for the People's Representative,IC for the promotion of Veselin Naydenov Mareshki as an independent candidate for the People's Representative,2633.0,indep,independent,independent,638.0,True
CZ,Volte Pravý Blok www.cibulka.net,Volte Pravý Blok www.cibulka.net,904.0,PB,Pravý Blok,Right Bloc,429.0,True
BG,Independent,Independent,2633.0,indep,independent,independent,428.0,True
BG,IC for the promotion of Tsvetan Hristov Atanasov with an independent candidate,IC for the promotion of Tsvetan Hristov Atanasov with an independent candidate,2633.0,indep,independent,independent,312.0,True
NO,Norges Kommunistiske Parti,Norges Kommunistiske Parti,1079.0,NKP,Norges Kommunistiske Parti,Communist Party of Norway,301.0,True
RO,PARTIDUL REPUBLICAN DIN ROMÂNIA,PARTIDUL REPUBLICAN DIN ROMÂNIA,1457.0,PaRe,Partidul Republican,Republican Party,279.0,True
RO,PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,PARTIDUL NAȚIONAL ȚĂRĂNESC CREȘTIN DEMOCRAT,1750.0,PNT-CD,Partidul Naţional Ţărănesc Creştin Democrat,Christian-Democratic National Peasants' Party,270.0,True
NO,Kystpartiet,Kystpartiet,677.0,Kp,Kystpartiet,Coastal Party,171.0,True
GR,Independent candidates,Independent candidates,2708.0,indep,independent,independent,155.0,True
BG,IC for Petar Konstantinov Nizamov - independent,IC for Petar Konstantinov Nizamov - independent,2633.0,indep,independent,independent,129.0,True
BG,David Leon Levy - independent,David Leon Levy - independent,2633.0,indep,independent,independent,53.0,True
NO,NKP,Norges Kommunistiske Parti,1079.0,NKP,Norges Kommunistiske Parti,Communist Party of Norway,50.0,True
SE,Ny Demokrati,Ny Demokrati,343.0,NyD,Ny Demokrati,New Democracy,4.0,True
SE,Stora Norrland's independent Freedom Party,Stora Norrland's independent Freedom Party,2934.0,indep,independent,independent,1.0,True
